Brand,Model,Derivative,Introduced,Discontinued,Package
XEV,YOYO HATCHBACK,15kW Pro 10.4kWh 3dr Auto,2024-05-01,,
XEV,YOYO HATCHBACK,15kW Pro+ 10.4kWh 3dr Auto,2024-05-01,,
VOLVO,EX40 ESTATE,175kW Single Motor Core 69kWh 5dr Auto,2024-04-04,,
VOLVO,EX40 ESTATE,185kW Extended Range Core 78kWh 5dr Auto,2024-04-04,,
VOLVO,EX40 ESTATE,175kW Single Motor Plus 69kWh 5dr Auto,2024-04-04,,
VOLVO,EX40 ESTATE,185kW Extended Range Plus 78kWh 5dr Auto,2024-04-04,,
VOLVO,EX40 ESTATE,300kW Twin Motor Plus 82kWh 5dr AWD Auto,2024-04-04,,
VOLVO,EX40 ESTATE,185kW Extended Range Ultra 78kWh 5dr Auto,2024-04-04,,
VOLVO,EX40 ESTATE,300kW Twin Motor Ultra 82kWh 5dr AWD Auto,2024-04-04,,
VOLVO,EC40 ESTATE,175kW Plus 69kWh 5dr Auto,2024-04-04,,
VOLVO,EC40 ESTATE,185kW Extended Range Plus 78kWh 5dr Auto,2024-04-04,,
VOLVO,EC40 ESTATE,300kW Twin Plus 82kWh 5dr AWD Auto,2024-04-04,,
VOLVO,EC40 ESTATE,185kW Extended Range Ultra 78kWh 5dr Auto,2024-04-04,,
VOLVO,EC40 ESTATE,300kW Twin Ultra 82kWh 5dr AWD Auto,2024-04-04,,
VOLVO,V60 SPORTSWAGON,2.0 T8 PHEV Ultra Dark 5dr AWD Auto,2024-07-01,,455
VOLVO,V60 SPORTSWAGON,2.0 B4P Ultra Dark 5dr Auto,2024-07-01,,
VOLVO,XC40 ESTATE,2.0 B3P Plus Black Edition 5dr Auto,2024-07-01,,
VOLVO,XC40 ESTATE,2.0 B4P Plus Black Edition 5dr Auto,2024-07-01,,
VOLVO,XC40 ESTATE,2.0 B3P Ultra Black Edition 5dr Auto,2024-07-01,,
VOLVO,XC40 ESTATE,2.0 B4P Ultra Black Edition 5dr Auto,2024-07-01,,
VOLVO,EC40 ESTATE,185kW Ext Range Plus Black Edition 78kWh 5dr Aut,2024-07-01,,
VOLVO,EC40 ESTATE,325kW TM Perf Plus Black Edition 82kWh 5dr Auto,2024-07-01,,
VOLVO,EC40 ESTATE,185kW Ext Range Ultra Black Edition 78kWh 5dr Au,2024-07-01,,
VOLVO,EC40 ESTATE,325kW TM Perf Ultra Black Edition 82kWh 5dr Auto,2024-07-01,,
VOLVO,EX40 ESTATE,185kW Ext Range Plus Black Editon 78kWh 5dr Auto,2024-07-01,,
VOLVO,EX40 ESTATE,325kW TM Perf Plus Black Edition 82kWh 5dr Auto,2024-07-01,,
VOLVO,EX40 ESTATE,185kW Ext Range Ultra Black Edition 78kWh 5dr Au,2024-07-01,,
VOLVO,EX40 ESTATE,325kW TM Perf Ultra Black Edition 82kWh 5dr Auto,2024-07-01,,
VOLVO,V60 SPORTSWAGON,2.0 T6 PHEV Plus Dark 5dr AWD Auto,2024-07-01,,350
VOLVO,V90 ESTATE,2.0 T6 PHEV Plus Dark 5dr AWD Auto,2024-07-01,,350
VOLVO,V90 ESTATE,2.0 T8 PHEV Ultra Dark 5dr AWD Auto,2024-07-01,,455
VOLVO,XC90 ESTATE,2.0 B5P Ultra Edition Dark 5dr AWD Geartronic,2024-08-01,,
VOLVO,XC90 ESTATE,2.0 T8 PHEV Plus Edition Dark 5dr AWD Geartronic,2024-08-01,,
VOLVO,XC90 ESTATE,2.0 B5P Plus Edition Dark 5dr AWD Geartronic,2024-08-01,,
VOLVO,XC90 ESTATE,2.0 T8 PHEV Ultra Edition Bright 5dr AWD Gtron,2024-08-01,,
VOLVO,XC90 ESTATE,2.0 T8 PHEV Ultra Edition Dark 5dr AWD Geartroni,2024-08-01,,
VOLVO,EX30 ESTATE,200kW Single Motor Core 51kWh 5dr Auto,2024-08-01,,
VOLVO,EX30 ESTATE,200kW SM Extended Range Core 69kWh 5dr Auto,2024-08-01,,
VOLVO,XC60 ESTATE,2.0 B4P Plus Dark 5dr Geartronic,2022-03-28,2022-10-21,
VOLVO,XC40 ESTATE,2.0 B4P Plus Dark 5dr Auto,2022-10-10,,
VOLVO,XC40 ESTATE,2.0 B3P Ultimate Dark 5dr Auto,2022-10-10,2024-12-06,
VOLVO,V60 SPORTSWAGON,2.0 T8 RC PHEV Ultimate Dark 5dr AWD Auto,2022-10-10,2024-06-30,455
VOLVO,V90 ESTATE,2.0 T8 RC PHEV Ultimate Dark 5dr AWD Auto,2022-10-10,2023-07-17,455
VOLVO,V90 ESTATE,2.0 B6P Cross Country Ultimate 5dr AWD Auto,2022-10-10,,
VOLVO,V90 DIESEL ESTATE,2.0 B4D Cross Country Plus 5dr AWD Auto,2022-10-10,,
VOLVO,XC90 ESTATE,2.0 B6P Ultimate Dark 5dr AWD Geartronic,2022-10-21,,
